step,rewards,qf1_loss,actor_loss,observations,action
26000,[-1.527007],25081.521484375,2970.6083984375,[ 1.12301623 -0.03875641 -0.05596223  0.05896997],[-0.4328102]
27000,[-3.1548276],21438.1484375,2868.886474609375,[ 0.80099229  0.00889062  0.15417042 -0.64085655],[1.4679615]
28000,[-3.3735263],19159.212890625,3081.1513671875,[ 1.47646331  0.04536226 -1.02699942 -0.04639934],[-0.02487314]
29000,[-1.4856367],14057.2978515625,2596.86767578125,[ 0.59185986  0.00850089 -0.07597774 -0.17284827],[0.85803294]
30000,[-1.2829312],16931.12109375,2420.625732421875,[ 1.02167437  0.055832   -0.37855577 -0.03601212],[0.09622913]
31000,[-1.4820907],24705.0234375,2349.60498046875,[ 0.34619713 -0.00906519  0.05728977 -0.4136111 ],[1.0477674]
32000,[-0.9328275],19152.5859375,2360.2568359375,[ 0.94611001 -0.00514146 -0.03172545 -0.00776672],[-0.1457842]
33000,[-1.744602],16439.9296875,2290.9892578125,[ 0.4244958   0.00812003 -0.06701565 -0.20123329],[1.0131098]
34000,[-1.0412675],15255.212890625,2224.736328125,[ 0.28161636 -0.00895237  0.22716915 -0.55566446],[0.95959234]
35000,[-1.213826],15994.62109375,1877.47607421875,[ 1.09149954  0.0195313   0.01466059 -0.11119581],[0.11686295]
36000,[-2.4843545],16166.0078125,2054.62841796875,[ 0.76755467 -0.00822941  0.29755263 -0.31429441],[1.2071002]
37000,[-3.5226238],16177.8369140625,1973.0579833984375,[ 0.75399706 -0.01873291  0.56945905 -0.74702136],[1.6359448]
38000,[-4.0179715],14774.5654296875,2014.5357666015625,[ 1.62288709  0.0810629  -0.98016064  0.07790152],[0.23045418]
39000,[-1.7060091],10345.833984375,1934.2208251953125,[ 1.0302438  -0.00275352  0.1091967   0.26239307],[-0.68650734]
40000,[-3.7081373],11512.193359375,1696.669921875,[ 0.80733616 -0.00737312  0.45964939 -0.59961546],[1.6146363]
