step,rewards,qf1_loss,actor_loss,observations,action
25100,[-1753.6757],361534.3125,386.16229248046875,[-9.11419328  2.58764196 -2.18134922 -0.0639131 ],[-0.81746143]
25200,[-314.42288],169209.375,633.784912109375,[ 2.56390567  3.10943857  2.0717371  -0.32376131],[-0.1056915]
25300,[-176.3069],128035.6796875,732.7427978515625,[-0.17972606  2.98420852 -0.38391022  0.4576976 ],[-0.01005666]
25400,[-135.46242],58828.8203125,857.4078369140625,[-0.76785163  2.53088763 -2.16029899  0.57871252],[-0.17753512]
25500,[-268.82822],42186.84765625,931.6063842773438,[-1.95192882  3.14300036 -1.14023415 -0.02303123],[0.30040848]
25600,[-272.81445],36767.171875,1074.009033203125,[-2.03452932  3.14507602 -1.72837352 -0.05124341],[0.33230126]
25700,[-243.19002],26798.80859375,1152.58544921875,[-1.48394415  3.14287616  0.30607033 -0.00622969],[0.6528976]
25800,[-275.32404],23039.087890625,1250.6357421875,[-2.19583583  3.12715029 -1.67480643  1.34730361],[0.45230407]
25900,[-394.6967],29301.708984375,1355.5283203125,[-3.23126055e+00  3.14208063e+00 -1.48910501e+00 -1.58958486e-03],[0.15154994]
26000,[-221.50694],24176.787109375,1576.74609375,[-1.10204938  3.14364376 -0.15746894 -0.02568657],[0.09145405]
26100,[-217.11578],23814.6640625,1612.958984375,[-9.50357352e-01  3.14222364e+00  6.66763716e-01  1.42005936e-03],[0.3374777]
26200,[-419.72342],24165.73046875,1815.497314453125,[-3.57633514  3.04240636 -2.01012382  0.6882306 ],[0.07203102]
26300,[-347.0748],22162.86328125,1880.4090576171875,[-2.84278084  3.08469349 -1.03301179 -0.25525292],[-0.09754175]
26400,[-217.77097],25619.73828125,1907.8858642578125,[-9.07629177e-01  3.14200021e+00  1.65966563e+00 -3.08529120e-03],[0.09267169]
26500,[-227.96605],29406.220703125,2042.95458984375,[-1.14086892e+00  3.14283169e+00  1.27994993e+00 -7.80086732e-04],[0.76148057]
26600,[-308.11862],28105.83984375,2340.5625,[-2.27864296e+00  3.14263510e+00  1.19583444e+00 -5.17387111e-04],[0.6650011]
26700,[-220.15154],32751.130859375,2505.29052734375,[-0.99931857  3.14682589  0.42083084 -0.07995665],[0.4759227]
26800,[-195.30722],31762.39453125,2684.6826171875,[-0.23497257  3.05935285  1.15814111 -0.9618413 ],[-0.44802728]
