step,rewards,qf1_loss,actor_loss,observations,action
25100,[-124471.695],802033280.0,1308.189208984375,[ -1.66965307   0.58911814 -19.3811088  -10.99266982],[-19.69568]
25200,[-3238.9214],408382720.0,11191.3515625,[ 3.44979762  3.18744089  0.24823382 -0.68260125],[0.6623047]
25300,[-88391.07],127045200.0,24084.15234375,[ 1.94992379  3.1626271  18.46956611 -0.0399286 ],[11.432427]
25400,[-29163.584],65612808.0,26597.20703125,[  1.82669356   2.93762234  10.68169829 -10.97472341],[-14.603668]
25500,[-23793.67],69343560.0,30304.759765625,[  2.08979755   2.94191148  12.66553475 -10.89262322],[-14.443904]
25600,[-24305.953],64492008.0,33487.265625,[ 1.91317219  3.15762684 15.85773352 -0.12231377],[4.3120146]
25700,[-13182.517],32207332.0,35531.4375,[ 0.44151634  3.18678251  8.56487798 -0.30994547],[13.233562]
25800,[-37418.758],35313032.0,41105.890625,[ -1.89744808  -0.53162698  -7.35728355 -29.44821063],[17.488268]
25900,[-42464.15],49706592.0,48462.859375,[ -1.86338399  -0.52230906  -7.11296413 -29.1370445 ],[16.781168]
26000,[-49116.887],43093960.0,53681.59375,[ -1.79824486  -0.70201515  -6.01640434 -31.19785745],[17.124369]
26100,[-23440.008],42517504.0,55220.53515625,[  0.65481593   1.97605752  -4.37205255 -22.08726655],[-20.]
26200,[-32733.168],33809772.0,57650.0390625,[ 2.08679142  3.17050205 20.14033381 -0.16666044],[11.612798]
26300,[-17791.98],47434564.0,65747.515625,[  0.21065434   1.56910063  -7.19931195 -21.13440246],[-19.213234]
26400,[-24105.062],43885772.0,70667.390625,[  0.17892381   1.51569603  -7.34382965 -21.01199988],[-19.379475]
26500,[-36908.895],42928420.0,72214.078125,[-2.31933881e+00 -1.32346100e-02 -1.66846062e+01 -1.39182465e+01],[1.6902657]
26600,[-34340.406],32467344.0,78706.46875,[ -1.29731864   0.08689398  -2.21139748 -23.70443572],[12.824524]
26700,[-28771.645],41153176.0,86554.96875,[ 1.48202529  3.15803884 14.18118427 -0.0255487 ],[9.041584]
26800,[-34006.7],39482992.0,86582.6484375,[ -1.08147308   0.92203342  -2.56381721 -12.88779723],[11.986618]
26900,[-11648.863],44606368.0,94056.25,[0.10850339 3.26288267 3.89900893 0.66102017],[2.7979374]
27000,[-15963.113],42170944.0,96138.1015625,[-0.5460399   2.09679013 -0.66463808 -1.01237173],[8.444974]
27100,[-3381.999],44914672.0,101453.375,[ 0.30485009  2.91949476  0.9887357  -3.69478983],[-3.3505852]
27200,[-1159.2146],54231160.0,108751.734375,[ 0.26618583  3.14033819  2.18221093 -0.33947202],[-0.34627113]
27300,[-9010.2705],49560048.0,108831.0234375,[-0.72400934  1.75439359 -3.08194172 -5.47986662],[5.1101685]
27400,[-6673.097],55161752.0,110229.75,[-0.69575814  1.85376687 -4.00893984 -6.25134163],[4.8801265]
27500,[-2003.165],49516048.0,116246.2734375,[-0.03886488  3.06405252  0.44545553  1.40160056],[1.8914759]
27600,[-5824.622],68383488.0,123763.0234375,[ 0.54517367  3.14822965  4.9862159  -0.0441547 ],[3.0307288]
27700,[-3134.9138],61504236.0,122303.4609375,[-0.13050685  2.89861848 -0.01306481  0.80152142],[3.1203647]
27800,[-3693.3472],57589244.0,128128.84375,[-0.02537122  3.12343653  1.44758747  3.78767999],[3.8972814]
27900,[-1665.8947],70385208.0,133438.46875,[ 0.25704274  3.14388023  2.01006952 -0.02731595],[0.48632598]
28000,[-3357.501],91951776.0,130614.28125,[ 0.3027073   3.14402144  2.61317327 -0.08847043],[-0.0974215]
28100,[-5989.144],98852672.0,139209.96875,[-0.44242411  2.3432121  -2.60974757 -3.35251455],[0.7069587]
28200,[-3191.616],93773824.0,146210.828125,[-0.03002981  3.15012578  1.17874839  2.52782991],[3.1082265]
28300,[-2871.5825],81408312.0,139618.765625,[ 1.6406527   1.76945254 -1.45662845 -3.57990063],[-2.5597868]
28400,[-2130.236],105250648.0,152512.75,[ 1.54174308  2.11705538 -0.24664459 -2.83105484],[-2.0844605]
28500,[-1729.1473],116239088.0,155720.640625,[1.36416182 2.50289308 2.91046469 8.66986981],[3.0247722]
28600,[-5303.752],112643632.0,158731.0,[ 3.78247052  3.03354664  4.4058199  -1.28061603],[-0.82208437]
28700,[-11651.521],107563200.0,159512.078125,[ 9.85565284e+00  3.14268205e+00  6.57509144e+00 -4.12871860e-03],[0.49297008]
28800,[-3390.0562],123005328.0,157633.734375,[ 3.76669195  3.16067164  3.60377973 -0.2974437 ],[1.4756384]
28900,[-3266.2263],115921816.0,166933.265625,[ 1.7657413   2.96427936  4.19073441 -3.12834711],[-2.558166]
29000,[-10068.155],137300240.0,173732.875,[8.66497432e+00 3.14251413e+00 6.99661078e+00 9.11372516e-04],[0.7137532]
29100,[-4046.8943],138817616.0,167336.0,[ 5.01961122  3.14328859  4.43960324 -0.01283069],[0.8211509]
29200,[-3308.0205],134125200.0,166162.28125,[ 3.15048075  2.30383294  3.02724134 -0.13601208],[-0.45714015]
29300,[-11140.9],150620608.0,183191.03125,[ 0.31784146  3.1580869   4.5660533  -0.13663969],[4.7894626]
29400,[-11627.95],161606688.0,177107.421875,[ 9.39041568e+00  3.14260301e+00  7.46309505e+00 -6.21388639e-04],[0.66566724]
29500,[-9173.595],213617408.0,185604.75,[ 8.22300087e+00  3.14255896e+00  6.73000240e+00 -1.65989538e-03],[0.5766734]
29600,[-9850.559],160712768.0,175153.84375,[8.50765256e+00 3.14259438e+00 7.17224325e+00 4.67943054e-05],[0.75861484]
29700,[-10461.903],197602240.0,194254.59375,[ 8.84964989e+00  3.14247410e+00  6.86943146e+00 -2.47415241e-03],[0.45493072]
