step,rewards,qf1_loss,actor_loss,observations,action
26507,[7221.689],201523.03125,676.3403930664062,[10.10576318  3.16792974  1.89195171 -0.05230928],[0.74813336]
36394,[10134.419],225762.21875,2323.1025390625,[2.3170894  3.11991023 0.02950819 0.01808999],[-0.06845096]
46394,[9613.683],97300.6640625,2416.8642578125,[0.07268942 3.28353268 0.62895534 1.43230327],[0.4635223]
56394,[10446.075],132298.625,3291.636474609375,[-3.02835573  3.12061113 -0.05898776 -0.10887885],[0.02017474]
66394,[11470.638],333386.1875,3852.344482421875,[-4.49551481  3.11046978  0.050571   -0.0227696 ],[0.1395415]
76394,[10185.475],150438.34375,4082.0205078125,[-2.12231798  3.07671512  0.31222987  0.84206872],[0.9442346]
86394,[14710.407],219624.1875,3880.19140625,[-7.85578848  3.12628555 -0.17960815 -0.11529822],[0.07754789]
96394,[14303.416],263415.6875,4325.0439453125,[-4.86525752  2.9877889  -2.19201116 -4.44043989],[-4.1624565]
106394,[14670.901],27324.017578125,3879.4296875,[-1.94834492  2.8927595  -0.65975743 -3.85065888],[1.8250768]
116394,[13383.305],34967.4765625,4372.244140625,[ 0.72580904  2.88039498  0.64545448 -3.3630735 ],[1.4519727]
126394,[10237.491],21771.08203125,4017.72314453125,[ 1.28936399  2.8268345  -0.60173669  1.64251653],[0.82331264]
136394,[10795.81],10059.4765625,3506.44580078125,[ 2.59709237  3.1656784  -0.56160633 -1.2370441 ],[-1.8514309]
146394,[10104.631],2271.96337890625,4236.41845703125,[-2.20084457  3.12845674 -0.01191552  0.07213447],[-0.01927111]
156394,[11246.468],738.4527587890625,5340.0263671875,[ 0.22029006  2.65328433 -0.19602606 -5.06993277],[0.7778356]
166394,[9707.258],611.8465576171875,6182.39111328125,[ 0.23534865  3.40942664 -0.5184212  -2.76053316],[-2.258813]
176394,[9623.914],435.29168701171875,6901.61328125,[-1.6265313   3.24422367  0.18792224 -0.20172573],[1.7484963]
186394,[9718.507],452.63525390625,7453.0146484375,[-0.40529547  3.31835516 -1.20512873 -0.28562943],[-0.17635818]
196394,[9540.795],280.05169677734375,7819.640625,[-0.31928727  2.66634953 -1.06624736  2.76077977],[0.16166313]
206394,[9572.598],287.8568115234375,8160.3154296875,[ 0.99496398  2.38214859 -0.19449567  1.29942969],[-1.253956]
216394,[9340.426],183.70680236816406,8434.53125,[ 0.52188841  2.70964733 -0.51202026  2.9531896 ],[-0.09487179]
226394,[9392.369],178.29962158203125,8627.1220703125,[-0.64738413  3.41711925  1.10815709  0.07668074],[2.8996558]
236394,[9461.892],130.71478271484375,8770.31640625,[ 0.37504198  2.22507005 -0.28205772 -0.30066435],[-0.36301315]
246394,[9384.72],44.934852600097656,8875.2978515625,[ 0.08556707  3.54646265  1.66051896 -0.09156553],[2.6826022]
256394,[9395.8125],58.850425720214844,8963.79296875,[-0.95175619  3.21191868 -0.33332847  4.61183419],[0.01312596]
266394,[7254.173],709.397216796875,8950.521484375,[0.11650629 3.36175958 0.88974929 8.60860379],[-0.3480152]
276394,[9873.699],2874.48193359375,8031.59375,[ 0.18346865 -3.15104188  0.11165368 -0.37014018],[-0.4054609]
286394,[10444.265],1485.716552734375,7725.1552734375,[ 1.11724029 -2.41599602 -1.53793091 -3.42562426],[-2.590078]
296394,[9877.757],912.3025512695312,7543.267578125,[-1.8731856  -3.06276396 -0.13032775 -0.29529082],[-0.07636151]
