step,rewards,qf1_loss,actor_loss,observations,action
26000,[-108.768456],403719.125,380.6320495605469,[ 2.44204639  3.14535095  2.25417973 -0.00465091],[0.11318932]
27000,[-153.4934],140088.0,1028.6829833984375,[ 6.52207593  3.08602202  3.50668687 -1.15381197],[-0.82647073]
27076,[27484.49],171829.71875,1123.77490234375,[ 0.00706519  3.14512683 -0.00782616  0.0052033 ],[-0.01009732]
28000,[-107.18476],266549.125,1785.815673828125,[ 2.73745266  3.1544516   0.42082736 -0.0351934 ],[0.11764419]
29000,[-103.14187],362059.5,2330.967041015625,[ 2.00923133  3.14423859 -0.2439432  -0.00433581],[0.10079122]
30000,[-100.13039],473911.9375,2369.14111328125,[ 1.14588286  3.14174956  0.0712078  -0.02288193],[0.00058208]
31000,[-101.1606],350597.15625,2453.959228515625,[ 1.48099853  3.14552218  0.21607255 -0.00747792],[0.04667427]
32000,[-103.010765],322200.59375,2428.82763671875,[ 1.88023129  3.15161619  0.03909902 -0.02732476],[0.02556182]
33000,[-103.522156],324694.3125,2433.5888671875,[2.25121579 3.13966662 0.04357211 0.00449337],[-0.01960163]
34000,[-106.60057],287804.0,2449.28076171875,[ 2.39790184  3.14481281 -0.02585619 -0.37634526],[-0.07819444]
35000,[-106.116455],403137.75,2218.623779296875,[ 2.34509859  3.19442566 -0.13769577  0.11111705],[0.06241032]
36000,[-103.04463],232460.28125,2384.5283203125,[ 2.17141525  3.19622835 -0.05048351  0.39952041],[0.15011299]
37000,[-97.71872],204237.53125,2309.436767578125,[ 2.17161245  3.06902736 -0.06631878  0.34730985],[0.03841209]
38000,[-101.515625],215170.15625,2270.03955078125,[2.8355438  3.12184294 0.11893592 0.87683002],[0.20099992]
39000,[-95.60775],183492.75,2352.23681640625,[ 2.39993068  2.95790708 -0.18379635 -0.20103691],[-0.18233366]
40000,[-111.13288],172353.1875,2283.41552734375,[ 2.58134702  3.21541199  0.14369033 -0.42646551],[-0.20871043]
41000,[-65.47944],198311.421875,2359.7890625,[1.70737738 2.63490316 0.24402837 3.00071343],[1.1175412]
42000,[-96.64423],167091.5,2393.56591796875,[ 1.8264387   2.97088498 -0.09618647 -0.54645446],[-0.08228679]
43000,[-101.17775],221114.234375,2450.40966796875,[1.43978549 3.20114113 0.15622714 0.31824781],[0.24203461]
44000,[-93.82832],116953.2421875,2525.47216796875,[ 0.56391712  2.94892147 -0.32203939 -0.78016273],[-0.17799479]
45000,[-100.09048],202942.75,2373.747802734375,[-0.13880832  3.16214042  0.14852275 -0.06061545],[-0.02912551]
46000,[-93.551315],135605.125,2533.09228515625,[ 0.20370656  3.06879966 -0.08952659  0.21991812],[-0.00838245]
47000,[-97.908844],166668.328125,2530.615234375,[-0.15267355  3.13316428 -0.03603348  0.02208867],[-0.0547594]
47076,[19677.64],142562.546875,2632.352783203125,[-0.00441932  3.15081625 -0.00825715  0.00370477],[-0.05024672]
48000,[-91.61222],63253.609375,2489.1650390625,[-1.70786169e+00  3.00529954e+00  1.57952006e-03  6.66962457e-01],[0.24887913]
49000,[-96.61566],203859.3125,2760.245849609375,[-0.61705494  3.11692495 -0.01154067  0.18232958],[-0.01469767]
50000,[-89.79788],185993.8125,2687.3076171875,[-1.83329451  2.94339572 -0.0193702   0.39056494],[0.06971155]
51000,[-104.94498],151029.0,2784.69287109375,[-0.94027999  3.15382014 -0.26716505 -1.07521599],[-0.5152373]
52000,[-106.742744],331267.90625,2832.34765625,[-1.97040957  3.22451758  0.18567087  0.02449002],[-0.10991408]
53000,[-100.766685],113714.53125,2805.36474609375,[-1.45559072  3.1330301  -0.02945576 -0.07844628],[-0.0099563]
54000,[-102.12652],168234.9375,3011.98876953125,[-1.8869634   3.13277018 -0.06959359 -0.05156765],[0.01625608]
55000,[-100.74061],122358.2578125,3029.53173828125,[-1.31118361  3.14924238 -0.08871532  0.0070894 ],[0.05445743]
56000,[-101.2998],178264.515625,3119.05029296875,[-1.77631129  3.13830766 -0.07333506 -0.0073369 ],[-0.10310641]
57000,[-99.43001],110631.671875,3263.04541015625,[-1.70181141e+00  3.10197196e+00 -4.90018358e-04 -6.63088905e-03],[-0.01978]
58000,[-99.834564],147466.84375,3371.59228515625,[-1.02474655  3.13099496 -0.07960275 -0.2726175 ],[-0.25621712]
59000,[-101.69292],169455.15625,3429.885986328125,[-2.19001344  3.1157608  -0.16874001  0.08422906],[0.03410691]
60000,[-97.3394],245429.5625,3580.348876953125,[-0.98720429  3.07357133 -0.33965888 -0.65831852],[-0.87468743]
61000,[-108.74646],267307.28125,3787.13818359375,[-3.11536924  3.14990217 -0.03907931  0.00690838],[0.04245645]
62000,[-105.983826],233473.78125,3796.11328125,[-2.73635534  3.13635454  0.03071593  0.1058328 ],[0.17131726]
63000,[-105.988914],251385.1875,3868.3486328125,[-2.73176089  3.13216071  0.06286272  0.27505019],[0.42666614]
64000,[-106.463905],200886.734375,3885.82470703125,[-3.00824082  3.11907347 -0.11454906 -0.15892823],[-0.26919192]
65000,[-109.80068],197604.359375,4039.9384765625,[-3.20291854  3.14756791  0.10906496 -0.093078  ],[-0.02756]
66000,[-107.86994],197000.640625,3885.28271484375,[-3.19609865  3.11671055  0.00922952  0.06699597],[0.1630257]
