epsilon,cost_mean,cost_variance,error_mean,error_variance
0,11969.1528525905,11875881.9360462,1.80544388387079,0.778091325146566
0.1,12061.6061831826,13291908.2661022,1.8297583247259,0.787808414924885
0.2,11978.2800421464,13704671.065612,1.80786783078361,0.796961104656124
0.3,12045.7088250411,12908832.969272,1.8215149969847,0.741489495964337
0.4,11851.7320877878,12735316.1472763,1.77378318143025,0.746699673628644
0.5,11896.9239412007,11904290.581171,1.77089571244743,0.746357485507639
0.6,12058.3395816201,13534523.8260449,1.803862805749,0.775118651551728
0.7,12141.5073601974,11757838.5135797,1.81860462256692,0.714976950327822
0.8,12521.052004523,12566858.811106,1.90207534307766,0.67176169696652
0.9,12671.6847964638,12833415.9850294,1.90920066397001,0.682189541391769
1,12931.1834189967,13414145.1311641,1.95723193484815,0.701011400286667
1.2,13165.225077097,13608856.2326398,1.9683179205665,0.646329701302054
1.4,14113.5872532895,20489082.1386248,2.09127196389566,0.878148748813857
1.6,14849.3619911595,25105198.0171175,2.16671305047613,0.894945760457498
1.8,16067.3866776316,41391517.5278649,2.29962582814279,1.23425547041306
2,17353.1108141447,48720087.1986266,2.45473320086293,1.30119524955101
3,34156.6007606908,917726664.600853,3.51611039779109,3.29351900837291
4,53541.0348067434,1523799793.36719,4.37500664364689,4.93474868177075
5,70495.5119860197,1794832625.04179,5.30263629365544,5.35486314046055
