epsilon,cost_mean,cost_variance,error_mean,error_variance
0,2308.56426757812,12690.8517316605,0.397877665519575,4.3550720156383E-07
0.01,2391.53191162109,25583.3375644306,0.460238907952406,0.0134248957124732
0.02,2605.38249023437,171909.136167087,0.568819374061503,0.0712546932507174
0.03,2941.24654052734,651952.582118908,0.70961059305552,0.154112491671883
0.04,3426.66159179688,2069971.69864023,0.875388832121939,0.275705578146873
0.05,4036.64328125,4768749.99938167,1.04981557539426,0.420520797834134
0.06,4777.32510986328,9632931.53570012,1.22828195374016,0.598292241054488
0.07,5642.25178466797,16522901.1244212,1.41505827072175,0.785311824013532
0.08,6673.63851074219,27129296.1124526,1.60662035375818,1.02324968097632
0.09,7835.67015380859,43628934.7443277,1.79219415772456,1.31264488030919
0.1,9138.7278515625,66025565.9782386,1.98550984573703,1.61776437084552
0.2,31532.2389941406,1004471487.66805,4.03938714940601,6.34395991986279
0.3,57515.6756445313,1055290823.92072,5.38927054546217,5.27923762890055
0.4,84430.39859375,3990411320.4404,6.58878083944779,9.96295850940488
0.5,107977.11078125,4931934284.78767,7.67728025246414,11.6028766835323
epsilon,cost_mean,cost_variance,error_mean,error_variance
0.0,2317.044917480469,13199.14069929276,0.39792864914576526,4.3235093756427163e-07
0.01,2392.4058208007814,22789.851686642138,0.4557297923029585,0.0109424202174836
0.02,2582.603029785156,123375.0398085984,0.5603408885502338,0.05211290030831812
0.03,2917.176787109375,500955.51408234204,0.7139180038034114,0.12114353342549229
0.04,3384.168954589844,1516479.3996748622,0.8834829518968936,0.21985798654267774
0.05,3979.332650390625,3551234.715731977,1.0602007416879,0.3458639544446055
0.06,4711.905628417969,7254171.195755759,1.2441737451275445,0.5006511186411625
0.07,5592.46048828125,13601968.65571241,1.4345241762163097,0.6892456900265745
0.08,6640.284413085938,24029207.616179045,1.631626472935017,0.9206351856597176
0.09,7841.400708984375,41149073.227395415,1.830389576846854,1.1923306770657411
0.1,9152.444759765625,61642880.26767125,2.029475452659987,1.461664242008467
0.2,31835.504493164062,786552406.2290052,4.156703940060792,5.711541870381181
0.3,61783.43896289063,2047816482.4811578,5.734621296006988,7.83900467416908
0.4,89224.64541015626,4366456083.798083,6.835043537708739,11.380382920416997
0.5,101800.56142578126,5031310075.573471,7.2556325961331245,11.931819854566282
