step,cost,qf_loss,actor_loss,observations,action
25323,[4191.518],817733.625,-126.06410217285156,[-1.28490914e+01  3.21163620e+00 -3.04973508e+01 -2.24135245e-02],[-1.6357342]
30662,[10015.636],359332.25,1579.0426025390625,[ 0.95580321  2.54968329 -0.82131184 -0.94353044],[-2.049202]
40662,[11047.338],5745.7412109375,233.86801147460938,[-2.28577784  3.24504504 -1.83467815  0.45824277],[-2.7583115]
50630,[11471.54],14586.048828125,63.070823669433594,[-0.91644883  2.0845617   0.37695446 -7.54349495],[-1.4874953]
60630,[11344.274],11490.021484375,-200.2133331298828,[ 1.70030414 -0.95963098 -0.77672371 -7.86447471],[-0.10093807]
70630,[12881.143],8209.79296875,-358.44573974609375,[ 0.53172408  3.77774088  0.60597383 -6.09059775],[-7.695694]
80630,[10145.347],15856.326171875,-477.2235107421875,[-0.71344822 -1.41686269  1.31832806  2.05339299],[5.2446575]
90630,[11905.041],8111.033203125,-520.5885009765625,[ 0.81669904  3.51272114 -1.52317699 -6.16265743],[-8.360568]
100630,[11756.8125],6297.130859375,-607.3741455078125,[  0.31744672   2.8098809    0.44780519 -10.0523942 ],[-1.7208692]
110630,[11376.843],8285.19140625,-666.0740966796875,[-0.3396676   3.32757832 -1.06472574 -8.82172875],[-5.7959633]
120630,[10736.275],6647.9892578125,-777.252197265625,[-0.51035644  1.34355487 -0.04188809  0.90414611],[3.9614336]
130630,[7864.325],9446.98046875,-1018.422607421875,[ 0.39685957  1.40064939 -4.07791565 -4.47134761],[-2.3168688]
140630,[5092.4556],16765.3046875,-1983.608154296875,[-4.17619238 -0.01319089  0.52237823 -1.57935465],[2.3581228]
150630,[2934.6074],11219.509765625,-3516.9404296875,[-3.24736558 -0.05533527  0.11460128 -0.22284281],[-0.38868052]
160630,[2383.666],14712.1865234375,-4281.05078125,[-2.51310197 -0.12559542  0.73321028 -2.66785892],[2.305718]
170630,[2233.3555],17165.916015625,-4677.29150390625,[-1.93653531  0.07613238 -0.51125704  1.79511204],[-0.09807261]
180630,[2217.5066],7408.7568359375,-4939.7705078125,[-2.09285458  0.00908731  1.21162316 -3.07280329],[3.8792708]
190630,[2400.5725],7895.818359375,-5189.001953125,[-2.17076459 -0.02022506 -0.80665332  0.52639639],[-0.3695781]
200630,[2016.845],8122.1376953125,-5339.05908203125,[-1.33692037 -0.00393287  0.71411223 -1.20470601],[1.7251388]
210630,[1900.5995],10177.79296875,-5435.59619140625,[-1.74559298  0.25601585  0.62799472 -2.58985785],[5.931501]
220630,[2476.5989],3904.73046875,-5633.0546875,[-1.63792114 -0.03260595 -1.04876662 -0.09193439],[1.3158835]
230630,[2429.673],13223.3271484375,-5758.7744140625,[-1.44161335 -0.03317343  1.63947086 -2.71851907],[1.1893597]
240630,[2297.2446],10820.296875,-5865.8291015625,[-1.28787323 -0.33034882 -1.8051715   2.17577326],[-5.508182]
250630,[2484.669],11886.0830078125,-5969.6650390625,[-0.53843388 -0.08318754  1.68404668 -2.25119546],[1.4797227]
260630,[2421.904],6022.66796875,-6024.16650390625,[-0.75426226  0.1363726  -0.58406007  1.2492773 ],[1.1726434]
270630,[2330.141],3521.4033203125,-6059.5517578125,[-1.51553033 -0.03949372 -1.32224658  2.15847254],[-2.6802375]
280630,[2487.754],3724.24365234375,-6119.515625,[-1.18516025 -0.02535043 -0.84678749  0.19561471],[0.35810775]
290630,[2365.0142],4884.2392578125,-6193.5537109375,[-0.94508893  0.09810886 -1.59572717  3.11167073],[-3.8950343]
300630,[3061.0305],3829.1298828125,-6201.54248046875,[-1.03202431 -0.08426153  1.08919899 -1.68850857],[0.5788091]
310630,[2413.8074],3887.87109375,-6241.27294921875,[-0.61854393 -0.30032707 -0.48086263  1.02693806],[-0.7229712]
320630,[2285.8872],4614.26953125,-6305.201171875,[-0.82101065 -0.36016843  0.25093228  0.09011648],[-3.5584927]
330630,[3022.128],2432.64501953125,-6370.58642578125,[-0.48792153  0.0118651  -2.51370267  4.61688299],[-2.2267268]
340630,[2663.3992],6426.064453125,-6375.70947265625,[-1.15399605  0.18750713  0.59836572 -1.10267417],[-0.6622602]
350630,[2511.3262],3334.197265625,-6399.82421875,[-0.78830284  0.2001724  -0.86303635 -0.3322344 ],[2.2170453]
360630,[2438.903],5240.8193359375,-6401.3798828125,[-0.34686019 -0.12467109 -2.14817929  3.34070755],[-1.4479284]
370630,[2133.9631],2720.0654296875,-6435.0908203125,[-1.4105572  -0.06202193 -2.03918896  1.67178135],[-4.8519382]
380630,[2903.899],3776.9794921875,-6470.84033203125,[-0.51438535 -0.15442542  1.67675102 -1.54083535],[-1.0324818]
390630,[2518.599],3754.0673828125,-6514.90380859375,[-0.73907987  0.11221031  0.70501865 -1.36086387],[1.9662623]
400630,[3697.4148],3843.789794921875,-6558.80419921875,[ 0.06531834 -0.42565356  0.47826786 -1.01661322],[-4.1927013]
410630,[3115.8274],2701.89404296875,-6590.681640625,[-1.38166454  0.39488965  0.19051273  1.53798434],[-2.5207903]
420596,[2385.4038],3753.12841796875,-6625.916015625,[ 0.90612073 -0.07803358 -2.4908338   4.29040088],[-3.7082708]
430596,[2503.0508],4318.59130859375,-6609.86279296875,[ 0.49971807  0.05425873 -1.47471848  2.9477283 ],[-2.8455825]
440596,[2207.868],6391.8408203125,-6621.82421875,[-0.04858641 -0.37425244 -1.31129083  0.93204564],[-1.1162814]
450596,[2249.8123],5128.9375,-6600.89453125,[ 0.27298372 -0.07950376  0.22809446 -0.27924025],[-0.70499647]
460596,[2443.1099],2514.54931640625,-6665.49853515625,[ 0.16748967  0.00863736 -1.55942449  3.31481608],[-3.2203388]
