step,rewards,qf1_loss,actor_loss,observations,action
25100,[-801.11975],7612744192.0,-168.32223510742188,[ 6.29385295  1.93787217  0.27180169 -3.57765569],[-17.623657]
25200,[-374.66428],6663638016.0,-154.5463409423828,[2.48354477 2.26935888 0.26945829 1.9977599 ],[1.8841463]
25300,[-679.11914],12657830912.0,-129.6466064453125,[ 5.35192183 -2.66611962  0.90133953 -3.10505944],[2.7963722]
25400,[-1059.6965],9385953280.0,-111.83832550048828,[-0.09116533 -5.76679516 -0.32096009 -7.25027572],[5.059137]
25500,[-370.98297],7507163136.0,-74.69326782226562,[ 0.3381563  -2.39180088  0.57116482 -2.48292024],[6.2982674]
25600,[-385.60107],6272176128.0,-40.09135055541992,[ 0.44400085 -0.63242679  0.32173395  7.2508322 ],[-9.294979]
25700,[-9104.722],8174194176.0,10.373048782348633,[  1.75597272 -14.45367113   0.7330822    4.08041039],[-3.8395529]
25800,[-11232.946],8123117568.0,51.071434020996094,[-1.11248387 17.41190124 -0.86903063  5.64143833],[-17.909618]
25900,[-4385.7505],7572985856.0,116.74827575683594,[-2.81279928  9.95648602 -0.70063451 -0.53932062],[-10.543331]
26000,[-10247.7],9675006976.0,204.7154083251953,[  0.17576077 -16.38269203   0.04039821  -2.69572531],[-3.432104]
26100,[-435.10114],10265442304.0,291.79718017578125,[ 0.02132721 -2.86199226 -0.22598681  0.58420459],[-14.237528]
26200,[-391.0263],9670850560.0,340.61090087890625,[ 0.17736343 -2.88361754  0.03809362  0.93314168],[-7.845964]
26300,[-5867.9097],7708458496.0,435.78558349609375,[-1.08001357 13.10862009 -0.28232587  7.45106819],[-4.548448]
26400,[-3080.5715],6210825216.0,435.4759521484375,[-7.30169106  5.83332496 -1.30293992 -7.32310415],[6.5526557]
26500,[-277.00998],6905251840.0,545.4171142578125,[-0.23717657 -1.60882348 -0.05970766  4.77222454],[5.056376]
26600,[-2650.3938],7618717184.0,631.9667358398438,[0.05892547 8.47579509 0.01416256 3.44817224],[3.771676]
26700,[-46152.75],12498204672.0,925.24560546875,[-5.6061349  34.22042556 -1.77370134  1.4768398 ],[-9.782652]
26800,[-685.975],5758077952.0,914.8902587890625,[-6.51867373  1.54540705 -0.82437029 -5.0233066 ],[-3.1930172]
26900,[-9633.466],10168270848.0,1092.74951171875,[-1.22418323 15.57323548 -0.68288733  0.22928964],[-5.904092]
27000,[-396.78113],6588502016.0,1047.67236328125,[ 1.95178307e-03  3.13862147e+00  1.95855349e-02 -3.12079358e-02],[1.9984676]
27100,[-677.1259],9157859328.0,1276.674560546875,[-0.17365488  4.58575584 -0.2354507   5.04438601],[-6.148935]
27200,[-3533.797],7124444672.0,1421.39990234375,[-0.39761924  9.47784228 -0.35183744  0.47463299],[-1.5411975]
27300,[-3162.7456],6986734592.0,1488.933837890625,[-5.11285748  8.855275   -0.79244547  1.79254246],[-2.5194879]
27400,[-469.84152],8472944640.0,1788.842041015625,[-0.13736341 -3.67572492 -0.04800028 -2.06938284],[1.9621176]
27500,[-46440.66],12250811392.0,2099.60400390625,[-8.57410106 34.14643863 -2.96192649  1.38240766],[-14.371906]
