step,cost,loss,observations,action
7340,10083.27514679257,1012058.125,"tensor([[[ 1.2259,  3.2939,  1.7656, -0.6724]],

        [[ 1.3894,  3.1820,  1.5092, -1.5126]],

        [[ 1.5215,  2.9884,  1.1439, -2.2568]],

        ...,

        [[ 0.8135,  3.3667,  1.1926,  0.8257]],

        [[ 0.9209,  3.3892,  0.9613, -0.3183]],

        [[ 1.0533,  3.3501,  1.6901, -0.4250]]], device='cuda:0')","tensor([[[-0.4045]],

        [[-0.6861]],

        [[ 0.9113]],

        ...,

        [[-0.2860]],

        [[ 1.7175]],

        [[ 0.2317]]], device='cuda:0')"
7340,10083.27514679257,1012015.5,"tensor([[[ 1.2259,  3.2939,  1.7656, -0.6724]],

        [[ 1.3894,  3.1820,  1.5092, -1.5126]],

        [[ 1.5215,  2.9884,  1.1439, -2.2568]],

        ...,

        [[ 0.8135,  3.3667,  1.1926,  0.8257]],

        [[ 0.9209,  3.3892,  0.9613, -0.3183]],

        [[ 1.0533,  3.3501,  1.6901, -0.4250]]], device='cuda:0')","tensor([[[-0.4045]],

        [[-0.6861]],

        [[ 0.9113]],

        ...,

        [[-0.2860]],

        [[ 1.7175]],

        [[ 0.2317]]], device='cuda:0')"
14361,10239.643568804488,984171.125,"tensor([[[ 3.9596,  3.2038,  2.3462,  0.0948]],

        [[ 4.1513,  3.1068,  1.4917, -1.9862]],

        [[ 4.2910,  2.8981,  1.3154, -2.0821]],

        ...,

        [[ 3.4179,  3.0134,  1.8812,  1.2828]],

        [[ 3.5925,  3.1200,  1.6052,  0.7950]],

        [[ 3.7580,  3.1840,  1.6893,  0.3340]]], device='cuda:0')","tensor([[[-1.5163]],

        [[-0.4012]],

        [[-0.9135]],

        ...,

        [[-0.5335]],

        [[ 0.2997]],

        [[ 1.5804]]], device='cuda:0')"
21726,10926.084742782312,840166.1875,"tensor([[[ 1.6709e+00,  3.2013e+00,  1.8656e+00, -7.2814e-04]],

        [[ 1.8558e+00,  3.1906e+00,  1.8337e+00, -2.0852e-01]],

        [[ 2.0075e+00,  3.0918e+00,  1.2053e+00, -1.7160e+00]],

        ...,

        [[ 1.1128e+00,  3.0673e+00,  1.8581e+00,  6.4851e-01]],

        [[ 1.3005e+00,  3.1420e+00,  1.8911e+00,  8.1024e-01]],

        [[ 1.4862e+00,  3.1911e+00,  1.8312e+00,  2.4336e-01]]],
       device='cuda:0')","tensor([[[-0.0272]],

        [[-1.1202]],

        [[ 1.0854]],

        ...,

        [[ 0.0398]],

        [[-0.0112]],

        [[ 0.1350]]], device='cuda:0')"
28657,4814.67777937193,968937.1875,"tensor([[[ 2.2723,  2.9539,  0.7217,  3.2570]],

        [[ 2.3102,  3.2094,  0.0179,  1.7022]],

        [[ 2.3079,  3.3058, -0.0447,  0.4092]],

        ...,

        [[ 2.1477,  2.5911,  0.4335, -0.5330]],

        [[ 2.1740,  2.5654,  0.0928,  0.0283]],

        [[ 2.2071,  2.6765,  0.5724,  2.1748]]], device='cuda:0')","tensor([[[-1.2956]],

        [[ 0.1468]],

        [[-0.4018]],

        ...,

        [[-0.8996]],

        [[ 0.6808]],

        [[ 0.0633]]], device='cuda:0')"
36031,5248.8785345825745,985871.9375,"tensor([[[ 0.1320,  2.8445, -1.0200, -0.8650]],

        [[ 0.0055,  2.7404, -1.5056, -1.1591]],

        [[-0.1438,  2.6754, -1.4783, -0.1180]],

        ...,

        [[ 0.3606,  3.1361,  0.2340,  1.0852]],

        [[ 0.3085,  3.0669, -1.2711, -2.4264]],

        [[ 0.2140,  2.9161, -0.6148, -0.5296]]], device='cuda:0')","tensor([[[-1.0741]],

        [[-0.1539]],

        [[-0.9009]],

        ...,

        [[-2.7069]],

        [[ 1.0952]],

        [[-0.8714]]], device='cuda:0')"
43400,10870.817848267718,874318.5,"tensor([[[-0.2341,  3.1300, -0.0298,  0.2914]],

        [[-0.2191,  3.1654,  0.3300,  0.4211]],

        [[-0.2003,  3.1703,  0.0458, -0.3250]],

        ...,

        [[-0.1362,  3.1021, -0.0256,  1.1886]],

        [[-0.1458,  3.1882, -0.1745,  0.4538]],

        [[-0.1944,  3.1547, -0.7956, -1.1066]]], device='cuda:0')","tensor([[[ 0.8070]],

        [[-0.4919]],

        [[ 0.7955]],

        ...,

        [[-0.1800]],

        [[-1.0911]],

        [[ 1.4637]]], device='cuda:0')"
49719,7602.138745159351,983619.375,"tensor([[[-2.4672,  3.5929, -2.5767, -0.0846]],

        [[-2.7345,  3.5150, -2.7691, -1.4475]],

        [[-2.9984,  3.3625, -2.5020, -1.5270]],

        ...,

        [[-1.7284,  2.5430, -2.5934,  5.2907]],

        [[-1.9581,  3.1799, -2.1788,  5.8261]],

        [[-2.2035,  3.5270, -2.6691,  1.6850]]], device='cuda:0')","tensor([[[-0.1604]],

        [[ 0.6529]],

        [[ 0.1758]],

        ...,

        [[ 0.6343]],

        [[-0.1845]],

        [[ 0.5855]]], device='cuda:0')"
56882,10876.443757497602,1065396.875,"tensor([[[-0.5546,  3.1520, -1.0374, -2.1382]],

        [[-0.6559,  2.9507, -0.9775, -1.7880]],

        [[-0.7704,  2.7626, -1.3023, -1.8784]],

        ...,

        [[-0.4026,  3.2473, -0.0403,  2.0259]],

        [[-0.4177,  3.3591, -0.2390,  0.4364]],

        [[-0.4660,  3.3215, -0.7264, -1.1716]]], device='cuda:0')","tensor([[[ 0.0527]],

        [[-0.7569]],

        [[ 0.0125]],

        ...,

        [[-0.1030]],

        [[-0.7763]],

        [[-0.5000]]], device='cuda:0')"
64286,6953.200263835855,927555.1875,"tensor([[[ 4.1619,  3.5727,  2.6207, -1.0219]],

        [[ 4.4016,  3.3788,  2.1752, -2.7939]],

        [[ 4.6562,  3.1677,  2.9246, -1.3843]],

        ...,

        [[ 3.3437,  3.0075,  2.9222,  6.5452]],

        [[ 3.6287,  3.4988,  2.6907,  2.4993]],

        [[ 3.8962,  3.6164,  2.6968,  0.2029]]], device='cuda:0')","tensor([[[-0.6319]],

        [[ 1.4406]],

        [[-0.4787]],

        ...,

        [[ 0.4283]],

        [[ 0.5029]],

        [[ 0.0735]]], device='cuda:0')"
71690,10842.186902842279,957378.9375,"tensor([[[ 7.9969,  2.9988,  1.6619, -0.1820]],

        [[ 8.1860,  3.0496,  2.1187,  1.1745]],

        [[ 8.3460,  3.0534,  1.0811, -1.0969]],

        ...,

        [[ 7.5426,  3.2435,  1.2840, -1.3630]],

        [[ 7.6842,  3.1313,  1.5556, -0.8245]],

        [[ 7.8379,  3.0485,  1.5206, -0.7907]]], device='cuda:0')","tensor([[[ 0.7567]],

        [[-1.9003]],

        [[ 1.2700]],

        ...,

        [[ 0.5111]],

        [[-0.0897]],

        [[ 0.1913]]], device='cuda:0')"
78706,5569.691313019881,1027005.9375,"tensor([[[-0.0227,  2.4208, -3.0555,  5.1120]],

        [[-0.2907,  3.0650, -2.3367,  7.5415]],

        [[-0.5293,  3.6266, -2.5356,  2.7724]],

        ...,

        [[ 1.1750,  2.1478, -4.3222, -2.5317]],

        [[ 0.7482,  2.0015, -4.2254, -0.3881]],

        [[ 0.3344,  2.0757, -4.0438,  1.8734]]], device='cuda:0')","tensor([[[ 0.8397]],

        [[ 0.7329]],

        [[ 0.1942]],

        ...,

        [[-0.0507]],

        [[ 0.1802]],

        [[ 1.6339]]], device='cuda:0')"
85633,9264.193741688796,1113239.625,"tensor([[[-9.0287,  2.8050, -2.6041,  1.1316]],

        [[-9.2330,  3.0758, -1.4869,  4.1938]],

        [[-9.3710,  3.3990, -1.3374,  1.6279]],

        ...,

        [[-8.2048,  2.9192, -3.1015, -2.2737]],

        [[-8.4804,  2.8015, -2.4113, -0.0477]],

        [[-8.7498,  2.7731, -2.9746, -0.5034]]], device='cuda:0')","tensor([[[ 1.8927]],

        [[ 0.9471]],

        [[ 0.0321]],

        ...,

        [[ 1.1131]],

        [[-1.2127]],

        [[ 0.5136]]], device='cuda:0')"
92841,6633.323417167807,1022006.0625,"tensor([[[ 8.3932,  3.2911,  1.5920, -0.0752]],

        [[ 8.5343,  3.2255,  1.2326, -1.2064]],

        [[ 8.6372,  3.0528,  0.8337, -2.1587]],

        ...,

        [[ 7.8795,  2.9356,  1.7944,  1.4314]],

        [[ 8.0757,  3.1344,  2.1195,  2.4492]],

        [[ 8.2480,  3.2793,  1.3204,  0.3863]]], device='cuda:0')","tensor([[[-0.5806]],

        [[-0.7124]],

        [[-0.8363]],

        ...,

        [[ 0.5186]],

        [[-1.3900]],

        [[ 0.7343]]], device='cuda:0')"
100279,6300.603372409887,1003053.375,"tensor([[[-1.2736,  2.7458,  0.1257,  4.1426]],

        [[-1.2635,  3.1826, -0.0198,  3.7044]],

        [[-1.2750,  3.4026, -0.1735,  1.0580]],

        ...,

        [[-1.1894,  2.3715,  0.4657,  0.2025]],

        [[-1.1877,  2.3949, -0.4333,  0.2503]],

        [[-1.2443,  2.4733, -0.6984,  1.2898]]], device='cuda:0')","tensor([[[-0.3106]],

        [[ 0.2460]],

        [[ 0.7534]],

        ...,

        [[-2.0975]],

        [[-0.8034]],

        [[ 1.2809]]], device='cuda:0')"
107385,4501.0292524109345,992628.3125,"tensor([[[-0.3491,  3.0099, -0.4292,  1.6014]],

        [[-0.3684,  3.2327, -0.0296,  2.1323]],

        [[-0.3690,  3.3537,  0.0414,  0.5164]],

        ...,

        [[-0.1526,  2.8969, -0.6217, -0.3570]],

        [[-0.2108,  2.8986, -0.5427,  0.3895]],

        [[-0.2828,  2.9233, -0.8983,  0.0929]]], device='cuda:0')","tensor([[[ 0.8075]],

        [[ 0.5302]],

        [[-0.6188]],

        ...,

        [[ 0.0198]],

        [[-0.7613]],

        [[ 0.7519]]], device='cuda:0')"
114678,5246.748352310113,949566.625,"tensor([[[-0.3547,  3.2233, -1.3627,  3.3626]],

        [[-0.4630,  3.4226, -0.7701,  0.9550]],

        [[-0.5483,  3.4523, -0.9240, -0.2517]],

        ...,

        [[-0.0251,  2.2458, -0.9680,  1.3321]],

        [[-0.1420,  2.4331, -1.3706,  2.3456]],

        [[-0.2507,  2.7882, -0.7938,  4.6938]]], device='cuda:0')","tensor([[[ 1.9256]],

        [[-0.0964]],

        [[-0.1993]],

        ...,

        [[-1.1498]],

        [[ 0.7484]],

        [[-1.0828]]], device='cuda:0')"
121576,8122.958449639075,1106885.875,"tensor([[[-8.3851,  2.4104, -1.9392, -0.7567]],

        [[-8.5734,  2.4223, -1.8255,  0.9922]],

        [[-8.7906,  2.5310, -2.5222,  1.1239]],

        ...,

        [[-7.8383,  3.0750, -0.9043, -1.0656]],

        [[-7.9834,  2.8549, -1.9779, -3.1916]],

        [[-8.1855,  2.5697, -2.0565, -2.3926]]], device='cuda:0')","tensor([[[-0.0319]],

        [[-1.6582]],

        [[-0.0904]],

        ...,

        [[-2.0427]],

        [[-0.4200]],

        [[-0.0547]]], device='cuda:0')"
128992,12224.832803311403,952279.75,"tensor([[[ 0.4648,  2.8471,  1.0129,  1.7154]],

        [[ 0.5757,  3.0664,  1.1950,  2.5694]],

        [[ 0.6675,  3.2429,  0.6336,  0.8880]],

        ...,

        [[ 0.3645,  3.0680,  0.5243, -0.9050]],

        [[ 0.4047,  2.9611,  0.2856, -1.1783]],

        [[ 0.4164,  2.8299, -0.0447, -1.3776]]], device='cuda:0')","tensor([[[ 0.2152]],

        [[-0.9245]],

        [[-1.1073]],

        ...,

        [[-0.4964]],

        [[-0.7331]],

        [[ 1.7910]]], device='cuda:0')"
135905,7063.447054629573,1094572.625,"tensor([[[ 6.1114,  2.8332,  2.8849, -1.5822]],

        [[ 6.4586,  2.8428,  4.0586,  1.7722]],

        [[ 6.8666,  3.0513,  4.0914,  2.2979]],

        ...,

        [[ 5.1338,  3.1852,  3.4979, -0.6569]],

        [[ 5.4939,  3.1401,  3.7042, -0.2598]],

        [[ 5.8232,  3.0202,  2.8882, -2.0709]]], device='cuda:0')","tensor([[[ 2.0049]],

        [[-0.0581]],

        [[-0.7785]],

        ...,

        [[ 0.3899]],

        [[-1.4905]],

        [[-0.1314]]], device='cuda:0')"
