step,rewards,qf1_loss,actor_loss,observations,action
2600,[-283.79837],202152.171875,-172.9180450439453,[-1.31604432  2.97032422 -8.64958881 -9.75056395],[-12.711737]
2600,[-493.18192],194253.9375,-173.3538055419922,[ -1.60956232  -0.49783537 -17.4919179   16.47807655],[-14.467364]
2700,[-407.60635],207406.03125,-166.33404541015625,[ 8.87662984 -2.83593913  7.73926987 14.45672935],[3.9905145]
2800,[-166.4498],199172.53125,-151.50738525390625,[ 3.06619581  3.20992326  3.6975423  -1.26750046],[6.1054068]
2900,[-189.90802],201019.78125,-136.770751953125,[ 0.82649317  2.51206413 -6.01274567 -0.46818852],[5.842985]
3000,[-236.29704],156958.546875,-115.15811920166016,[-0.24238356  2.63490413  9.44850195 13.51908489],[7.1958523]
3100,[-183.66806],162817.46875,-95.52564239501953,[ 0.9962362   2.94763972  0.10766806 -5.77351545],[-8.934454]
3200,[-529.83545],152285.03125,-68.24590301513672,[ 3.62252588 -0.25748308 20.43486456  0.31012915],[-4.8187046]
3300,[-300.12314],152375.734375,-42.376216888427734,[ -4.03437322   0.58487981 -10.83504259  10.59843529],[-15.811367]
3400,[-149.09894],144088.671875,-6.230751991271973,[-0.04657081  3.03910731 -2.33047581 -5.28246873],[-7.076847]
3500,[-170.03336],121352.875,21.545209884643555,[ 8.91108034  1.60497641  7.43051994 -0.1422494 ],[-2.1259406]
3600,[-250.23587],102499.6171875,55.115394592285156,[-8.67912773 -2.00633799 -2.64661706 -6.46819972],[-11.405363]
3700,[-100.124214],103201.546875,87.33236694335938,[-0.34849811  2.44993051 -2.17578156  2.96966955],[-4.8305326]
3800,[-215.09795],108043.875,130.82305908203125,[-7.05249762 -3.0500389  -7.97446233  2.26284323],[-0.9281251]
3900,[-135.76068],122014.828125,173.7609100341797,[-4.55858879  2.42839535  1.56522629  7.22170737],[7.353081]
4000,[-177.80144],89973.375,197.83062744140625,[-4.04718899  2.59196105 -1.66220524 -3.47911279],[4.3028693]
4100,[-217.99475],63731.43359375,223.25595092773438,[ 5.98162824  3.15337878  9.26426182 -0.41390307],[3.7511823]
4200,[-100.46214],69878.046875,269.83160400390625,[-0.04543971  3.00290122  3.22878326  0.16913654],[-0.07794892]
4300,[-94.5202],69190.8203125,295.5162353515625,[-2.77607585  1.46876241 -8.41746744  2.51449014],[-1.9069837]
4400,[-208.37141],67666.671875,349.12640380859375,[-9.78750751  3.20343199 -3.59638611 -0.63214358],[-0.25475717]
4500,[-97.53937],56321.4453125,348.39739990234375,[ 2.46075693  2.36305696 -3.56910149  4.04202813],[3.8320198]
4600,[-77.410324],45059.00390625,401.22601318359375,[-4.5141899   1.33778366 -3.65515086 -2.31320565],[-3.8870504]
4700,[-106.38446],47785.890625,413.6693115234375,[-1.57412609  3.15203355 -1.26518745 -0.1448139 ],[1.2803854]
4800,[-124.204216],60446.86328125,453.286376953125,[1.54196316 2.9358428  6.40342933 1.87741166],[0.75133145]
4900,[-77.615814],49162.06640625,480.27008056640625,[ 0.07517979  2.70371613 -0.7010574   0.76931894],[1.5495218]
5000,[-122.78829],52259.2421875,558.70166015625,[-4.57472965  3.16180188  1.03941711 -0.04764018],[0.29477328]
5100,[-63.143845],52932.21875,559.870849609375,[ 0.1985192   2.29133603 -2.29115265  3.25753134],[1.8559365]
5200,[-82.44712],59220.53515625,624.0655517578125,[ 1.31351562  2.72485247  1.54936705 -0.25381471],[-1.596432]
5300,[-126.20177],43329.203125,592.8658447265625,[-7.12301262  2.31544394 -4.48215078  1.36432367],[1.2867949]
5400,[-121.47879],55783.203125,637.5870361328125,[-0.005076    3.21114811  1.59286529  1.90153808],[0.9589606]
5500,[-60.143013],54535.26953125,697.1358642578125,[-1.07718019  2.32728134 -2.3223227   2.38663576],[0.250303]
5600,[-127.924],65986.9375,732.9295654296875,[-4.80591475  3.13023574  1.76255249 -0.75999674],[-0.8791724]
5700,[-94.53412],50137.05859375,778.3007202148438,[ 2.21091568  2.83166214 -2.83941391  2.662006  ],[0.8688772]
5800,[-123.8473],60379.92578125,806.184814453125,[3.81589652 2.67122966 0.61433375 3.43708868],[-3.8272622]
5900,[-94.226395],53689.5078125,885.193115234375,[-1.21350969  2.88451008 -0.99209968 -1.49408903],[-2.8442454]
6000,[-120.09874],53579.7109375,799.5439453125,[ 0.12090909  3.16878237  2.94226883 -0.61726708],[-2.156773]
6100,[-64.52998],84640.4140625,949.1195068359375,[-0.48447312  2.47452833 -1.47606982  1.33986837],[1.0676891]
6200,[-139.36765],45379.953125,947.8311767578125,[-4.60062136  3.10361564 -0.36408485  1.30075941],[3.9161415]
6300,[-92.31991],60573.87890625,952.12158203125,[-3.05022439  2.86412565 -0.58517504  0.9523551 ],[-1.1940961]
6400,[-110.52707],61526.0546875,984.461669921875,[-1.49581239  3.10670666 -2.12808047 -2.20066346],[-2.719111]
6500,[-84.5298],65813.15625,965.1856079101562,[-0.22151165  2.89559161  0.18120494  3.42855155],[1.3648595]
6600,[-69.0788],71064.3828125,1076.996826171875,[-1.69781204  2.58245699 -0.39142234  2.34528869],[1.084604]
