step,rewards,qf_loss,actor_loss,observations,action
25766,[-2858.2397],183133344.0,29294.51953125,[0.         3.14159265 0.         0.        ],[1.3679917]
26907,[-5560.519],820906112.0,92336.84375,[0.         3.14159265 0.         0.        ],[31.169159]
27896,[-5676.3506],1617155584.0,168302.578125,[0.         3.14159265 0.         0.        ],[12.577794]
25987,[-201.80846],349039648.0,51145.09375,[0.         3.14159265 0.         0.        ],[-2.87454]
28987,[-365.30325],6047036416.0,297058.25,[0.         3.14159265 0.         0.        ],[-6.703635]
31789,[-9529.452],10098092032.0,279413.3125,[0.         3.14159265 0.         0.        ],[-25.163502]
32776,[-20028.385],20306663424.0,282759.0,[0.         3.14159265 0.         0.        ],[71.75734]
33521,[-25074.57],15323422720.0,232865.625,[0.         3.14159265 0.         0.        ],[-99.95109]
34278,[-23828.637],19813658624.0,118885.9609375,[0.         3.14159265 0.         0.        ],[-100.]
34982,[-27782.541],30322745344.0,-33316.140625,[0.         3.14159265 0.         0.        ],[-100.]
35679,[-20713.316],65427472384.0,-304812.1875,[0.         3.14159265 0.         0.        ],[-100.]
36382,[-20257.621],184219680768.0,-813427.5625,[0.         3.14159265 0.         0.        ],[-100.]
37082,[-20274.262],435449167872.0,-1351766.75,[0.         3.14159265 0.         0.        ],[-100.]
37782,[-20280.379],592139255808.0,-1659414.375,[0.         3.14159265 0.         0.        ],[-100.]
38393,[-20246.762],3335731544064.0,-4746271.5,[0.         3.14159265 0.         0.        ],[100.]
38893,[-20246.762],14250279960576.0,-9172524.0,[0.         3.14159265 0.         0.        ],[100.]
39393,[-20246.762],55214740602880.0,-16623742.0,[0.         3.14159265 0.         0.        ],[100.]
39893,[-20246.762],166362001440768.0,-26722214.0,[0.         3.14159265 0.         0.        ],[100.]
40393,[-20246.762],478934017769472.0,-41160056.0,[0.         3.14159265 0.         0.        ],[100.]
40893,[-20246.762],1088728105746432.0,-58352700.0,[0.         3.14159265 0.         0.        ],[100.]
41393,[-20246.762],2284378214367232.0,-78202784.0,[0.         3.14159265 0.         0.        ],[100.]
41893,[-20246.762],3951569091428352.0,-100714672.0,[0.         3.14159265 0.         0.        ],[100.]
42393,[-20246.762],5470444010340352.0,-127525248.0,[0.         3.14159265 0.         0.        ],[100.]
42893,[-20246.762],9263147093327872.0,-154888416.0,[0.         3.14159265 0.         0.        ],[100.]
43393,[-20246.762],1.2478235057061888e+16,-186981600.0,[0.         3.14159265 0.         0.        ],[100.]
43893,[-20246.762],2.115031089859789e+16,-223777152.0,[0.         3.14159265 0.         0.        ],[100.]
44393,[-20246.762],2.817703845612749e+16,-257131424.0,[0.         3.14159265 0.         0.        ],[100.]
44893,[-20246.762],3.394649808961536e+16,-295855936.0,[0.         3.14159265 0.         0.        ],[100.]
45393,[-20246.762],5.203414726633062e+16,-336113152.0,[0.         3.14159265 0.         0.        ],[100.]
45893,[-20246.762],5.91944160945111e+16,-385231360.0,[0.         3.14159265 0.         0.        ],[100.]
26347,[-73.2564],53038760.0,42710.14453125,[0.         3.14159265 0.         0.        ],[7.0499477]
29346,[-173.33228],1239383680.0,137759.1875,[0.         3.14159265 0.         0.        ],[5.494652]
32346,[-84.83766],5061228544.0,236518.984375,[0.         3.14159265 0.         0.        ],[1.0582793]
